ParcelNumber,FullAddress,CurrentAssessedValue,OBJECTID
21A087100,110 HARRIS RD ,355000,15150378
22B059000,716 SHAMROCK RD ,303316,15150813
220156000,1631 CHERRY AVE ,130100,15150726
22A108000,711 HIGHLAND AVE ,291320,15150890
210107000,2341 HIGHLAND AVE ,220000,15150172
22A106000,707 HIGHLAND AVE ,296700,15150882
200152000,203 AZALEA DR ,269000,15149959
21A099120,511 MOSELEY DR ,216355,15150402
210019000,2202 HILL ST ,253100,15150067
22A025000,1528 TRAILRIDGE RD ,289300,15150744
22B043000,105 ERIC PL ,310200,15150889
200273000,127 LONGWOOD DR ,210100,15150022
200277000,119 LONGWOOD DR ,210100,15149992
220046190,114 DAVID TER ,241900,15150476
22A013000,1504 TRAILRIDGE RD ,325650,15150670
220136000,1617 MULBERRY AVE ,280900,15150662
21A118000,0 CLEVELAND AVE ,42700,15150264
22A083000,107 VILLAGE CT ,290500,15150830
21A006000,2518 WILLARD DR ,271100,15150233
210105300,1715 CHERRY AVE ,261100,15150204
220035000,1503 BROAD AVE ,187300,15150609
220070000,208 SHAMROCK RD ,197700,15150498
220069000,210 SHAMROCK RD ,183000,15150499
210105700,2311 CRESTMONT AVE ,253300,15150196
210108000,2339 HIGHLAND AVE ,236900,15150168
210110000,2337 HIGHLAND AVE ,196800,15150163
220132000,1609 MULBERRY AVE ,232760,15150636
220103000,2300 CENTER AVE ,183700,15150620
210105260,2304 CRESTMONT AVE ,281000,15150179
210127000,2308 HIGHLAND AVE ,267100,15150108
21A099240,504-A MOSELEY DR ,159600,15150381
200166000,105 CAMELLIA DR ,234395,15150411
210099000,205 CLEVELAND AVE ,338700,15150202
22A026000,1530 TRAILRIDGE RD ,268600,15150750
22A072000,704 SHAMROCK RD ,262402,15150782
220097000,1623 CENTER AVE ,270300,15150615
200041100,2729 JEFFERSON PARK AVE ,198400,15149930
22B089000,1604 ANTOINETTE AVE ,285000,15150897
210131000,2318 HIGHLAND AVE ,295200,15150142
21A099700,516 MOSELEY DR ,214200,15150429
210077000,114 RAYMOND AVE ,244400,15150137
210024000,204 TODD AVE ,277405,15150059
22A033000,602 SHAMROCK RD ,298420,15150715
21A122000,2518 NAYLOR ST ,253500,15150314
21A049000,2611 WILLARD DR ,223300,15150326
22B004000,105 ELKHORN RD ,278600,15150761
22A036000,608 SHAMROCK RD ,279256,15150734
210097000,123 CLEVELAND AVE ,303800,15150199
21A050000,2615 WILLARD DR ,221090,15150335
220160000,1620 MULBERRY AVE ,194950,15150690
210105180,2320 CRESTMONT AVE ,275000,15150180
21A0018A0,338 CLEVELAND AVE ,127900,15150228
210120000,2309 HIGHLAND AVE ,362000,15150124
220111100,1638 CENTER AVE ,217600,15150688
21A129600,113 LODGE CREEK CIR ,184500,15150329
220032000,1501 CHERRY AVE ,201760,15150601
220104000,2302 CENTER AVE ,181600,15150628
200233000,201 CAMELLIA DR ,221645,15149981
210104400,1704 CHERRY AVE ,239100,15150192
220151000,1637 CHERRY AVE ,230200,15150731
22A094000,710 VILLAGE RD ,288400,15150834
22A092000,102 VILLAGE CT ,272200,15150837
190044000,229 MONTE VISTA AVE ,233944,15149955
22A116000,700 HIGHLAND AVE ,547068,15150893
21A081000,427 MOSELEY DR ,237300,15150254
21A080000,429 MOSELEY DR ,228200,15150257
21A026000,409 ALLEN DR ,265100,15150268
22B017000,710 SHAMROCK RD ,279800,15150797
22A027000,1532 TRAILRIDGE RD ,292272,15150755
210105101,2319 CRESTMONT AVE ,251660,15150178
22B028000,1613 DUBLIN RD ,300918,15150901
21A017000,2528 WILLARD DR ,235075,15150263
190052000,217 MONTE VISTA AVE ,250744,15149929
21A088000,116 HARRIS RD ,268400,15150371
210030000,2202 JEFFERSON PARK AVE ,313300,15150066
220172000,1600 MULBERRY AVE ,212900,15150632
22A074000,708 SHAMROCK RD ,294104,15150793
21A088200,112 HILTON DR ,286335,15150410
220050000,1533 BROAD AVE ,224400,15150535
220126000,249 SHAMROCK RD ,213500,15150593
22B011000,110 ELKHORN RD ,304800,15150766
22B053000,723 VILLAGE RD ,300330,15150863
